drug_name,Présentation,Dosage,Distributeur ou fabriquant,Composition,Classe thérapeutique,Statut,Code ATC,PPV,Prix hospitalier,Tableau,Notice en français,Nature du Produit,Indication(s),Substance (s) psychoactive (s),Princeps,Mises en garde,Contres-indication(s),Posologies et mode d'administration,Risque potentiel de dépendance ou d’abus,PPC,Boîte,Grossesse,Allaitement,Effets indésirable,Conservation,Lien du Produit,Laboratoire détenteur de l'AMM dans le pays d'origine,Age minimal d'utilisation,Particularité,AO,Export,Tiers Payant,Convention de Vienne,RCP,Liens de redirection,Notice en arabe
"AFONGIS 150 MG, Gélule",Boite de 2,150 MG,DEVA PHARMACEUTIQUE,Fluconazole,"Antifongique systémique, dérivé du triazole",Commercialisé,J02AC01,32.10 dhs,20.00 dhs,A,,Médicament,"Candidoses des muqueuses. Celles-ci comprennent l'infection de l'oropharynx et de l'œsophage ainsi que les candidoses mucocutanées et les candidoses buccales atrophiques chroniques (irritation chez les porteurs de prothèse dentaire).
Aussi bien les patients sans affections associées que les patients immunodéficients peuvent être traités.
Candidose vaginale aiguë ou récidivante.
Prophylaxie des infections à Candida chez les patients atteints de tumeurs malignes et prédisposés à ce type d'infections en raison d'une chimiothérapie anticancéreuse ou d'une radiothérapie.
Dermatomycoses, y compris Tinea pedis, Tinea corporis, Tinea cruris, infections cutanées à Candida ainsi que Pityriasis versicolor.
L'utilisation dans le traitement de l'onychomycose n'est pas documentée cliniquement.
Candidémie.
Cryptococcose méningée et prophylaxie des récidives de cette maladie chez les patients sidéens. Chez certains patients atteints de cryptococcose méningée, l'effet antifongique du fluconazole se développe plus lentement que celui de l'amphotéricine B ou de l'association d'amphotéricine B et de flucytosine, mais il n'existe cependant pas de différence significative par rapport au taux de guérison.
Le fluconazole peut également être utilisé pour traiter d'autres cryptococcoses (par exemple pulmonaire ou cutanée).
Les patients sans maladies associées, les patients sidéens, les transplantés et les autres patients immunosupprimés peuvent également être traités par fluconazole.
Le fluconazole ne doit pas être utilisé pour le traitement de la teigne (tinea capitis) chez l'enfant et l'adolescent.",,,,,,,,,,,,,,,,,,,,,,,
"AFONGIS 150 MG, Gélule",Boîte de 1,150 MG,DEVA PHARMACEUTIQUE,Fluconazole,"Antifongique systémique, dérivé du triazole",Commercialisé,J02AC01,18.20 dhs,11.40 dhs,A,,Médicament,"Candidoses des muqueuses. Celles-ci comprennent l'infection de l'oropharynx et de l'œsophage ainsi que les candidoses mucocutanées et les candidoses buccales atrophiques chroniques (irritation chez les porteurs de prothèse dentaire).
Aussi bien les patients sans affections associées que les patients immunodéficients peuvent être traités.
Candidose vaginale aiguë ou récidivante.
Prophylaxie des infections à Candida chez les patients atteints de tumeurs malignes et prédisposés à ce type d'infections en raison d'une chimiothérapie anticancéreuse ou d'une radiothérapie.
Dermatomycoses, y compris Tinea pedis, Tinea corporis, Tinea cruris, infections cutanées à Candida ainsi que Pityriasis versicolor.
L'utilisation dans le traitement de l'onychomycose n'est pas documentée cliniquement.
Candidémie.
Cryptococcose méningée et prophylaxie des récidives de cette maladie chez les patients sidéens. Chez certains patients atteints de cryptococcose méningée, l'effet antifongique du fluconazole se développe plus lentement que celui de l'amphotéricine B ou de l'association d'amphotéricine B et de flucytosine, mais il n'existe cependant pas de différence significative par rapport au taux de guérison.
Le fluconazole peut également être utilisé pour traiter d'autres cryptococcoses (par exemple pulmonaire ou cutanée).
Les patients sans maladies associées, les patients sidéens, les transplantés et les autres patients immunosupprimés peuvent également être traités par fluconazole.
Le fluconazole ne doit pas être utilisé pour le traitement de la teigne (tinea capitis) chez l'enfant et l'adolescent.",,,,,,,,,,,,,,,,,,,,,,,
"AGENOS , Comprimé effervescent",Boite de 20,,MC PHARMA,Calcium | Vitamine C | Magnésium,Oligoéléments et vitamines,Commercialisé,,,,Aucun,,Complément alimentaire,Déficit vitaminocalcique,,,,,,,65.00 dhs,,,,,,,,,,,,,,,,
"AGIDERM 2 %, Crème",Tube de 15 g,2 %,NOVOPHARMA,Acide fusidique,Antibactérien,Commercialisé,J01XC01,26.20 dhs,16.30 dhs,Aucun,,Médicament,"Infections de la peau dues à staphylocoque et streptocoque :

· impétigos et dermatoses impétiginisées :

o en traitement local uniquement dans les formes localisées à petit nombre de lésions ;

o en traitement local d’appoint en association à une antibiothérapie générale adaptée dans les formes les plus étendues ;

· désinfection des gîtes microbiens cutanéo-muqueux, chez les porteurs sains de staphylocoques, et après staphylococcie, notamment furonculose.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",,,,,,,,,,,,,,,,,,,,,,,
"AGIDERM 2 %, Pommade",Tube de 15 g,2 %,NOVOPHARMA,Acide fucidique,Abtibactérien,Commercialisé,J01XC01,23.40 dhs,14.60 dhs,A,,Médicament,"Infections de la peau dues à staphylocoque et streptocoque :

· impétigos et dermatoses impétiginisées :

o en traitement local uniquement dans les formes localisées à petit nombre de lésions ;

o en traitement local d’appoint en association à une antibiothérapie générale adaptée dans les formes les plus étendues ;

· désinfection des gîtes microbiens cutanéo-muqueux, chez les porteurs sains de staphylocoques, et après staphylococcie, notamment furonculose.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",,,,,,,,,,,,,,,,,,,,,,,
"AGIFENE 2 %, Suspension buvable",Flacon de 150 ml,2 %,PHI,Ibuprofène,Anti-inflammatoire non stéroïdien,Commercialisé,M01AE01,22.50 dhs,14.00 dhs,C,,Médicament,"Ibuprofène, suspension buvable est indiqué pour le traitement de courte durée des douleurs légères à modérées telles que maux de tête, douleurs dentaires, dysménorrhée et douleurs post-opératoires.

Ibuprofène réduit aussi l’inflammation et la fièvre et soulage les douleurs associées à la grippe et aux rhumes.

Ibuprofène est destiné aux adultes, aux adolescents et aux enfants à partir de 20 kg (âgés de 6 ans et plus).",,,,,,,,,,,,,,,,,,,,,,,
"AGIFENE 5 %, Gel",Tube de 50 g,5 %,PHI,Ibuprofène,Anti-inflammatoire non stéroïdien,Commercialisé,M01AE01,36.20 dhs,22.60 dhs,C,,Médicament,"Traitement local de courte durée chez l'adulte (à partir de 15 ans) des traumatismes bénins : entorse (foulures), contusions.",,,,,,,,,,,,,,,,,,,,,,,
"AGLIM 1 MG, Comprimé",Boite de 30,1 MG,PHARMA5,Glimépiride,Antidiabétiques,Commercialisé,A10BB12,19.00 dhs,11.90 dhs,A,,Médicament,"Diabète non insulino-dépendant (type 2), lorsque le régime, l'exercice physique et la réduction de poids ne suffisent pas à eux seuls à atteindre des valeurs adéquates de glycémie.",,,,,,,,,,,,,,,,,,,,,,,
"AGLIM 2 MG, Comprimé",Boite de 30,2 MG,PHARMA5,Glimépiride,"Antidiabétique, sulfonylurée",Commercialisé,A10BB12,36.00 dhs,22.50 dhs,A,,Médicament,"Diabète non insulino-dépendant (type 2), lorsque le régime, l'exercice physique et la réduction de poids ne suffisent pas à eux seuls à atteindre des valeurs adéquates de glycémie.",,,,,,,,,,,,,,,,,,,,,,,
"AGLIM 3 MG, Comprimé",Boite de 30,3 MG,PHARMA5,Glimépiride,"Antidiabétique, sulfonylurée",Commercialisé,A10BB12,51.00 dhs,31.90 dhs,A,,Médicament,"Diabète non insulino-dépendant (type 2), lorsque le régime, l'exercice physique et la réduction de poids ne suffisent pas à eux seuls à atteindre des valeurs adéquates de glycémie.",,,,,,,,,,,,,,,,,,,,,,,
"AGLIM 3 MG, Comprimé",Boite de 60,3 MG,PHARMA5,Glimépiride,"Antidiabétique, sulfonylurée",Commercialisé,A10BB12,90.00 dhs,56.20 dhs,A,,Médicament,"Diabète non insulino-dépendant (type 2), lorsque le régime, l'exercice physique et la réduction de poids ne suffisent pas à eux seuls à atteindre des valeurs adéquates de glycémie.",,,,,,,,,,,,,,,,,,,,,,,
"AGLIM 4 MG, Comprimé",Boite de 30,4 MG,PHARMA5,Glimépiride,"Antidiabétique, sulfonylurée",Commercialisé,A10BB12,62.90 dhs,39.30 dhs,A,,Médicament,"Diabète non insulino-dépendant (type 2), lorsque le régime, l'exercice physique et la réduction de poids ne suffisent pas à eux seuls à atteindre des valeurs adéquates de glycémie.",,,,,,,,,,,,,,,,,,,,,,,
"AGLIM 4 MG, Comprimé",Boite de 60,4 MG,PHARMA5,Glimépiride,"Antidiabétique, sulfonylurée",Commercialisé,A10BB12,110.70 dhs,69.20 dhs,A,,Médicament,"Diabète non insulino-dépendant (type 2), lorsque le régime, l'exercice physique et la réduction de poids ne suffisent pas à eux seuls à atteindre des valeurs adéquates de glycémie.",,,,,,,,,,,,,,,,,,,,,,,
"AGRASTAT 50 µG / ML, Solution pour perfusion",Poche de 250 ml,50 µG / ML,SOTHEMA,Tirofiban,Antiagrégants plaquettaires,Commercialisé,B01AC17,2042.00 dhs,1793.00 dhs,A,,Médicament,"AGRASTAT est indiqué pour la prévention d'un infarctus du myocarde précoce chez l’adulte souffrant d’un syndrome coronaire aigu sans sus-décalage persistant du segment ST (SCA NST), dont le dernier épisode de douleur thoracique est survenu depuis moins de 12 heures et s'accompagne de modifications électrocardiographiques et/ou d'une élévation des enzymes cardiaques.

Les patients les plus susceptibles de bénéficier du traitement par AGRASTAT sont ceux présentant un risque élevé de développer un infarctus du myocarde dans les 3 - 4 jours après le début des symptômes de l'épisode angineux aigu, par exemple ceux susceptibles de bénéficier d’une intervention coronaire percutanée précoce.

AGRASTAT est également indiqué pour la réduction du risque de survenue d’événements cardiovasculaires majeurs chez les patients en phase aiguë d’infarctus du myocarde (IDM ST+) devant bénéficier d’une intervention coronaire percutanée.

L'utilisation d'AGRASTAT est préconisée en association avec l'aspirine (AAS) et l'héparine non fractionnée.",,Oui,,,,,,,,,,,,,,,,,,,,,
"AGREL 75 MG, Comprimé pelliculé",Boite de 28,75 MG,PHARMA5,Clopidogrel,Antiagrégant plaquettaire,Commercialisé,B01AC04,189.80 dhs,118.60 dhs,A,,Médicament,"Prévention secondaire des événements athérothrombotiques

Le clopidogrel est indiqué :

- chez les patients adultes souffrant d’un infarctus du myocarde (datant de quelques jours à moins de 35 jours), d’un accident vasculaire cérébral ischémique (datant de plus de 7 jours et de moins de 6 mois) ou d’une artériopathie oblitérante des membres inférieurs établie.

- chez les patients adultes souffrant d’un syndrome coronaire aigu :

* Syndrome coronaire aigu sans sus-décalage du segment ST (angor instable ou infarctus du myocarde sans onde Q), y compris les patients bénéficiant d’une angioplastie coronaire avec pose de stent, en association à l’acide acétylsalicylique (AAS).

* Infarctus du myocarde aigu avec sus-décalage du segment ST, en association à l’AAS chez les patients traités médicalement et éligibles à un traitement thrombolytique.

Prévention des événements athérothrombotiques et thromboemboliques dans la fibrillation auriculaire

Chez les patients adultes souffrant de fibrillation auriculaire, qui présentent au moins un facteur de risque d’événements vasculaires, qui ne peuvent être traités par un antivitamine K (AVK) et qui présentent un faible risque de saignements, le clopidogrel est indiqué, en association avec l’AAS, dans la prévention des événements athérothrombotiques et thromboemboliques, incluant l’AVC.",,,,,,,,,,,,,,,,,,,,,,,
"AGREL 75 MG, Comprimé pelliculé",Boite de 50,75 MG,PHARMA5,Clopidogrel,Antiagrégant plaquettaire,Commercialisé,B01AC04,316.00 dhs,210.00 dhs,A,,Médicament,"Prévention secondaire des événements athérothrombotiques

Le clopidogrel est indiqué :

- chez les patients adultes souffrant d’un infarctus du myocarde (datant de quelques jours à moins de 35 jours), d’un accident vasculaire cérébral ischémique (datant de plus de 7 jours et de moins de 6 mois) ou d’une artériopathie oblitérante des membres inférieurs établie.

- chez les patients adultes souffrant d’un syndrome coronaire aigu :

* Syndrome coronaire aigu sans sus-décalage du segment ST (angor instable ou infarctus du myocarde sans onde Q), y compris les patients bénéficiant d’une angioplastie coronaire avec pose de stent, en association à l’acide acétylsalicylique (AAS).

* Infarctus du myocarde aigu avec sus-décalage du segment ST, en association à l’AAS chez les patients traités médicalement et éligibles à un traitement thrombolytique.

Prévention des événements athérothrombotiques et thromboemboliques dans la fibrillation auriculaire

Chez les patients adultes souffrant de fibrillation auriculaire, qui présentent au moins un facteur de risque d’événements vasculaires, qui ne peuvent être traités par un antivitamine K (AVK) et qui présentent un faible risque de saignements, le clopidogrel est indiqué, en association avec l’AAS, dans la prévention des événements athérothrombotiques et thromboemboliques, incluant l’AVC.",,,,,,,,,,,,,,,,,,,,,,,
"AGYRAX 25 MG, Comprimé",Boîte de 30,25 MG,SOTHEMA,Méclozine,"Antiémétique, antihistaminique",Commercialisé,R06AE05,23.40 dhs,14.60 dhs,C,,Médicament,,,,,,,,,,,,,,,,,,,,,,,,
"AINARA, Gel vaginal hydratant muco-adhésif",Tube de 30 gr de gel avec un applicateur réutilisable,,VERSALYA SA,Polymères bio-adhésifs,,Commercialisé,,,,Aucun,,Médicament,"Gel d’hydratation muco-adhésif utilisé pour soulager les symptômes d’atrophie, de sécheresse vaginale et d’inconfort associés.

Ces symptômes sont le plus souvent retrouvés chez la femme enceinte ainsi qu’en période post-partum, ou dans le cadre de la ménopause. Ils peuvent être également présents en cas d’altération de la flore vaginale notamment due à la contraception ou autres médicaments.",,,,,,,97.00 dhs,Cliquez ici,,,,,,,,,,,,,,,
"AINAT, Comprimé",boite de 30,,THERAPHARMA,Actifs naturels,,Commercialisé,,,,Aucun,,Complément alimentaire,Confort articulaire et musculaire,,,,,,,79.50 dhs,,,,,,,,,,,,,,,,
"AIRCORT 250 µG, Suspension pour inhalation",Flacon de 200 doses,250 µG,CIPLA MAROC,Béclométasone,Glucocorticoïde par voie inhalée (Anti-inflammatoire),Commercialisé,R03BA01,83.00 dhs,51.90 dhs,A,,Médicament,,,,,,,,,,,,,,,,,,,,,,,,
"AIRFASTEC 10 MG, Comprimé à croquer",Boite de 30,10 MG,ZENITH PHARMA,Montelukast,"Antiasthmatique, antagoniste des leucotriènes",Commercialisé,R03DC03,210.00 dhs,132.20 dhs,A,,,"Montelukast est indiqué en traitement additif chez les patients âgés de 2 à 5 ans présentant un asthme persistant léger à modéré insuffisamment contrôlé par corticothérapie inhalée et chez qui les bêta-2-mimétiques à action immédiate et de courte durée administrés « à la demande » n’apportent pas un contrôle clinique suffisant de l’asthme.

Montelukast peut également être une alternative aux corticoïdes inhalés à faibles doses chez les patients âgés de 2 à 5 ans présentant un asthme persistant léger sans antécédent récent de crises d’asthme sévères ayant justifié une corticothérapie orale, et dont l’incapacité à adhérer à un traitement par corticoïdes inhalés est démontrée.

Montelukast est également indiqué en traitement préventif de l’asthme induit par l’effort chez les enfants âgés de 2 ans et plus.",,,,,,,,,,,,,,,,,,,,,,,
