dci_a,dci_b,level_fr,severity,mechanism,recommendation
BRENTUXIMAB,INHIBITEURS PUISSANTS DU CYP3A4,À prendre en compte,MINOR,"Augmentation des concentrations du métabolite actif du brentuximab, avec risque de neutropénie.",
BUPRENORPHINE,ATAZANAVIR,À prendre en compte,MINOR,"Risque de majoration ou de diminution des effets de la buprénorphine, à la fois par inhibition et accélération de son métabolisme par l’inhibiteur de protéases.",
BUPRENORPHINE,BENZODIAZÉPINES ET APPARENTÉS,À prendre en compte,MINOR,"Avec la buprénorphine utilisée en traitement de substitution : risque majoré de dépression respiratoire, pouvant être fatale.",Evaluer attentivement le rapport bénéfice/risque de cette association. Informer le patient de la nécessité de respecter les doses prescrites.
BUPRENORPHINE,INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,À prendre en compte,MINOR,"Risque de majoration ou de diminution des effets de la buprénorphine, à la fois par inhibition et accélération de son métabolisme par l’inhibiteur de protéases.",
BUPRENORPHINE,ITRACONAZOLE,Précaution d'emploi,MODERATE,"Augmentation des concentrations de buprénorphine par diminution de son métabolisme hépatique, avec risque de majoration de ses effets indésirables.","Surveillance clinique et adaptation de la posologie de la buprénorphine pendant le traitement par l'inhibiteur et, le cas échéant, après son arrêt."
BUPRENORPHINE,KETOCONAZOLE,Précaution d'emploi,MODERATE,"Augmentation des concentrations de buprénorphine par diminution de son métabolisme hépatique, avec risque de majoration de ses effets indésirables. 44","Surveillance clinique et adaptation de la posologie de la buprénorphine pendant le traitement par l'inhibiteur et, le cas échéant, après son arrêt."
BUPROPION,CLOMIPRAMINE,Précaution d'emploi,MODERATE,Risque d'augmentation des effets indésirables de la clomipramine par diminution de son métabolisme hépatique par le bupropion.,"Surveillance clinique. Si besoin, adaptation de la posologie de la clomipramine pendant le traitement par le bupropion."
BUPROPION,CODEINE,Association déconseillée,MAJOR,Risque d’inefficacité de l’opiacé par inhibition de son métabolisme par l’inhibiteur.,
BUPROPION,DESIPRAMINE,Précaution d'emploi,MODERATE,Risque d'augmentation des effets indésirables de la désipramine par diminution de son métabolisme hépatique par le bupropion.,"Surveillance clinique. Si besoin, adaptation de la posologie de la désipramine pendant le traitement par le bupropion."
BUPROPION,IMAO-B,Contre-indication,MAJOR,Risque de crises hypertensives.,
BUPROPION,MEQUITAZINE,Association déconseillée,MAJOR,"Risque de majoration des effets indésirables de la méquitazine, par inhibition de son métabolisme par l’inhibiteur enzymatique.",
BUPROPION,METOPROLOL,Précaution d'emploi,MODERATE,Avec le métoprolol utilisé dans l'insuffisance cardiaque : risque d'augmentation des effets indésirables du métoprolol par diminution de son métabolisme hépatique par le bupropion.,"Surveillance clinique. Si besoin, adaptation de la posologie du métoprolol pendant le traitement par le bupropion."
BUPROPION,NORTRIPTYLINE,Précaution d'emploi,MODERATE,Risque d'augmentation des effets indésirables de la nortriptyline par diminution de son métabolisme hépatique par le bupropion.,"Surveillance clinique. Si besoin, adaptation de la posologie de la nortriptyline pendant le traitement par le bupropion."
BUPROPION,TAMOXIFENE,Association déconseillée,MAJOR,"Risque de baisse de l'efficacité du tamoxifène, par inhibition de la formation de son métabolite actif par le bupropion.",
BUPROPION,TETRABENAZINE,Contre-indication,MAJOR,Augmentation possiblement très importante de l’exposition des métabolites actifs de la tétrabénazine.,
BUPROPION,TRAMADOL,Association déconseillée,MAJOR,Risque d’inefficacité de l’opiacé par inhibition de son métabolisme par l’inhibiteur.,
BUPROPION,VÉMURAFÉNIB,À prendre en compte,MINOR,"Risque de diminution des concentrations du bupropion, avec augmentation de son métabolite actif et toxicité majorée.",
BUSPIRONE,DIAZEPAM,À prendre en compte,MINOR,Risque de majoration des effets indésirables de la buspirone.,
BUSPIRONE,PAMPLEMOUSSE (JUS ET FRUIT),À prendre en compte,MINOR,Risque de majoration des effets indésirables de la buspirone par diminution de son métabolisme par le pamplemousse.,
BUSPIRONE,RIFAMPICINE,Précaution d'emploi,MODERATE,Diminution des concentrations plasmatiques de la buspirone par augmentation de son métabolisme hépatique par la rifampicine.,Surveillance clinique et adaptation éventuelle de la posologie de la buspirone pendant le traitement par rifampicine et après son arrêt.
BUSPIRONE,VERAPAMIL,Précaution d'emploi,MODERATE,"Augmentation des concentrations plasmatiques de la buspirone par diminution de son métabolisme hépatique par le vérapamil, avec augmentation de ses effets indésirables.",Surveillance clinique et adaptation de la posologie de la buspirone si nécessaire.
BUSULFAN,DEFERASIROX,À prendre en compte,MINOR,Risque d’augmentation de la toxicité du busulfan par diminution de sa clairance par le déférasirox.,
BUSULFAN,METRONIDAZOLE,Association déconseillée,MAJOR,Avec le busulfan à fortes doses : doublement des concentrations de busulfan par le métronidazole.,
CABAZITAXEL,APALUTAMIDE,Association déconseillée,MAJOR,"Risque de diminution très importante des concentrations du cabazitaxel, et perte d‘efficacité, par augmentation de son métabolisme hépatique par l’apalutamide.",
CABAZITAXEL,INDUCTEURS ENZYMATIQUES,À prendre en compte,MINOR,"Diminution des concentrations du cytotoxique par augmentation de son métabolisme par l’inducteur, avec risque de moindre efficacité.",
CABOTEGRAVIR,INDUCTEURS ENZYMATIQUES,À prendre en compte,MINOR,"Diminution importante des concentrations de cabotégravir avec la rifampicine, avec risque de réduction de la réponse virologique.","Contre-indication : - avec la rifampicine, la carbamazépine, l'oxcarbazépine, la phénytoïne, le phénobarbital A prendre en compte : - avec les autres inducteurs"
CAFEINE,CIPROFLOXACINE,À prendre en compte,MINOR,"Augmentation des concentrations plasmatiques de caféine, par diminution de son métabolisme hépatique.",
CAFEINE,DIPYRIDAMOLE,Précaution d'emploi,MODERATE,Avec le dipyridamole par voie injectable : réduction de l’effet vasodilatateur du dipyridamole par la caféine.,"Interrompre un traitement à base de caféine au moins 5 jours avant une imagerie myocardique avec le dipyridamole et éviter la consommation de café, thé, chocolat ou cola dans les 24 heures qui précèdent le test."
CAFEINE,ENOXACINE,Association déconseillée,MAJOR,"Augmentation des concentrations plasmatiques de caféine, pouvant entraîner excitations et hallucinations, par diminution de son métabolisme hépatique.",
CAFEINE,LITHIUM,À prendre en compte,MINOR,"En cas d’arrêt brutal de la consommation de café ou de médicaments contenant de la caféine, risque d’augmentation de la lithémie.",
CAFEINE,MEXILETINE,À prendre en compte,MINOR,"Augmentation des concentrations plasmatiques de caféine, par inhibition de son métabolisme hépatique par la méxilétine.",
CAFEINE,NORFLOXACINE,À prendre en compte,MINOR,"Augmentation des concentrations plasmatiques de caféine, par diminution du métabolisme hépatique de la caféine.",
CAFEINE,STIRIPENTOL,Précaution d'emploi,MODERATE,"Augmentation possible des concentrations plasmatiques de la caféine, avec risque de surdosage, par inhibition de son métabolisme hépatique.",Surveillance clinique et adaptation éventuelle de la posologie de caféine.
CALCITONINE,LITHIUM,Précaution d'emploi,MODERATE,Risque de baisse de l’efficacité du lithium par augmentation de son élimination rénale par la calcitonine.,"Surveillance clinique et biologique régulière, notamment en début d’association."
CALCIUM,BISPHOSPHONATES,Précaution d'emploi,MODERATE,Pour les sels de calcium administrés par voie orale : diminution de l'absorption digestive des bisphosphonates.,"Prendre les sels de calcium et antiacides à distance des bisphosphonates (de 30 minutes au minimum à plus de 2 heures, si possible, selon le bisphosphonate)."
CALCIUM,CIPROFLOXACINE,Précaution d'emploi,MODERATE,Diminution de l'absorption digestive de la ciprofloxacine.,"Prendre les sels de calcium à distance de la ciprofloxacine (plus de 2 heures, si possible)."
CALCIUM,CYCLINES,Précaution d'emploi,MODERATE,Diminution de l'absorption digestive des cyclines. 47,"Prendre les sels de calcium à distance des cyclines (plus de deux heures, si possible)."
CALCIUM,DIURÉTIQUES THIAZIDIQUES ET APPARENTÉS,À prendre en compte,MINOR,Risque d'hypercalcémie par diminution de l'élimination urinaire du calcium.,
CALCIUM,ESTRAMUSTINE,Précaution d'emploi,MODERATE,Diminution de l'absorption digestive de l'estramustine.,"Prendre les sels de calcium à distance de l'estramustine (plus de 2 heures, si possible)."
CALCIUM,FER,Précaution d'emploi,MODERATE,Avec les sels de fer par voie orale : diminution de l'absorption digestive des sels de fer.,Prendre les sels de fer à distance des repas et en l'absence de calcium.
CALCIUM,HORMONES THYROÏDIENNES,Précaution d'emploi,MODERATE,Diminution de l’absorption digestive des hormones thyroïdiennes.,"Prendre les sels de calcium à distance des hormones thyroïdiennes (plus de 2 heures, si possible)."
CALCIUM,INHIBITEURS D'INTÉGRASE,Précaution d'emploi,MODERATE,Diminution de l'absorption digestive des inhibiteurs d’intégrase.,"Prendre les sels de calcium à distance de l’antirétroviral (plus de 2 heures, si possible)."
CALCIUM,NORFLOXACINE,Précaution d'emploi,MODERATE,Diminution de l'absorption digestive de la norflloxacine.,"Prendre les sels de calcium à distance de la norfloxacine (plus de 2 heures, si possible)."
CALCIUM,ROXADUSTAT,Précaution d'emploi,MODERATE,"La prise de cation divalent peut diminuer l’absorption intestinale et, potentiellement, l’efficacité du roxadustat pris simultanément.","Prendre le roxadustat à distance des sels de calcium (plus de 1 heure, si possible)."
CALCIUM,STRONTIUM,Précaution d'emploi,MODERATE,Avec les sels de calcium administrés par voie orale : diminution de l'absorption digestive du strontium.,"Prendre le strontium à distance des sels de calcium (plus de deux heures, si possible)."
CALCIUM,ZINC,Précaution d'emploi,MODERATE,Diminution de l’absorption digestive du zinc par le calcium.,Prendre les sels de calcium à distance du zinc (plus de 2 heures si possible).
CANAKINUMAB,ANTI-TNF ALPHA,Association déconseillée,MAJOR,Risque de majoration des infections graves.,
CANNABIDIOL,MILLEPERTUIS,Contre-indication,MAJOR,Diminution des concentrations plasmatiques de cannabidiol avec risque de perte d’efficacité. 48,
CARBAMAZEPINE,ACETAZOLAMIDE,Précaution d'emploi,MODERATE,Augmentation des concentrations plasmatiques de carbamazépine avec signes de surdosage.,"Surveillance clinique et, si besoin, contrôle des concentrations plasmatiques de carbamazépine et réduction éventuelle de sa posologie."
CARBAMAZEPINE,CIMETIDINE,Précaution d'emploi,MODERATE,"Avec la cimétidine utilisée à des doses supérieures ou égales à 800 mg/j : en début de traitement, augmentation des concentrations plasmatiques de carbamazépine par inhibition de son métabolisme hépatique par la cimétidine.","Surveillance clinique et réduction éventuelle de la posologie de la carbamazépine, spécialement pendant les premiers jours de traitement par la cimétidine."
CARBAMAZEPINE,CLARITHROMYCINE,Précaution d'emploi,MODERATE,"Augmentation des concentrations plasmatiques de carbamazépine avec signes de surdosage, par inhibition de son métabolisme hépatique.",Surveillance clinique et réduction éventuelle de la posologie de la carbamazépine.
CARBAMAZEPINE,CLONAZEPAM,Précaution d'emploi,MODERATE,"Augmentation des concentrations plasmatiques du métabolite actif de la carbamazépine. De plus, diminution des concentrations plasmatiques du clonazépam par augmentation de son métabolisme hépatique par la carbamazépine.","Surveillance clinique, dosages plasmatiques et adaptation éventuelle des posologies des deux anticonvulsivants."
CARBAMAZEPINE,DIGOXINE,Précaution d'emploi,MODERATE,Augmentation des concentrations plasmatiques de carbamazépine et diminution de la digoxinémie.,Prudence dans l'interprétation des concentrations plasmatiques.
CARBAMAZEPINE,DIURÉTIQUES HYPOKALIÉMIANTS,Précaution d'emploi,MODERATE,Risque d'hyponatrémie symptomatique.,"Surveillance clinique et biologique. Si possible, utiliser une autre classe de diurétiques."
CARBAMAZEPINE,ERYTHROMYCINE,Association déconseillée,MAJOR,"Augmentation des concentrations plasmatiques de carbamazépine, avec signes de surdosage, par inhibition de son métabolisme hépatique.",
CARBAMAZEPINE,ETHOSUXIMIDE,Précaution d'emploi,MODERATE,Diminution des concentrations plasmatiques d'éthosuximide.,"Surveillance clinique, dosage plasmatique de l'éthosuximide et augmentation éventuelle de sa posologie."
CARBAMAZEPINE,FELBAMATE,Précaution d'emploi,MODERATE,"Augmentation des concentrations plasmatiques du métabolite actif de la carbamazépine. De plus, diminution des concentrations plasmatiques de felbamate par augmentation de son métabolisme hépatique par la carbamazépine.","Surveillance clinique, dosages plasmatiques et adaptation éventuelle des posologies des deux anticonvulsivants."
CARBAMAZEPINE,FLUCONAZOLE,Précaution d'emploi,MODERATE,Pour des doses de fluconazole >= 200 mg par jour : augmentation possible des effets indésirables de la carbamazépine.,"Adapter la posologie de carbamazépine, pendant et après l’arrêt du traitement antifongique."
CARBAMAZEPINE,FLUOXETINE,Précaution d'emploi,MODERATE,Augmentation des concentrations plasmatiques de carbamazépine avec signes de surdosage. 49,"Surveillance clinique, contrôle des concentrations plasmatiques de carbamazépine et réduction éventuelle de la posologie de la carbamazépine pendant le traitement par l'antidépresseur sérotoninergique et après son arrêt."
CARBAMAZEPINE,ISONIAZIDE,Association déconseillée,MAJOR,Augmentation des concentrations plasmatiques de carbamazépine avec signes de surdosage par inhibition de son métabolisme hépatique.,
CARBAMAZEPINE,JOSAMYCINE,Précaution d'emploi,MODERATE,"Augmentation des concentrations plasmatiques de carbamazépine avec signes de surdosage, par diminution de son métabolisme hépatique.","Surveillance clinique et, si besoin, dosage plasmatique et réduction éventuelle de la posologie de la carbamazépine."
CARBAMAZEPINE,NINTÉDANIB,Précaution d'emploi,MODERATE,Diminution des concentrations plasmatiques du nintédanib par diminution de son absorption par la carbamazépine.,Surveillance clinique pendant l’association.
CARBAMAZEPINE,OLANZAPINE,Précaution d'emploi,MODERATE,"Risque de diminution des concentrations plasmatiques de l'olanzapine et de son efficacité thérapeutique, par augmentation de son métabolisme hépatique par la carbamazépine.","Surveillance clinique, et si besoin, adaptation posologique de l'olanzapine."
